,name,descriptions,status,release_year,genres,slug,image_url,total_episodes,episode_links,episode_i_frame_array
10,.hack//Sign (Dub),"A young wavemaster, only known by the alias of Tsukasa, wakes up in an MMORPG called The World, with slight amnesia. He does not know what he has previously done before he woke up. In The World, he is suspected to be a hacker of the Crimson Knights, as he was seen accompanying a tweaked character in the form of a cat. Unable to log out from the game, he wanders around looking for answers, avoiding the knights and other players he meets along the way. As Tsukasa explores The World, he stumbles upon a magical item that takes the form of a 'guardian', which promises him protection from all harm. Subaru, the leader of the Crimson Knights, along with several other players who became acquainted with Tsukasa, set out to investigate why Tsukasa is unable to log out, and attempt to get to the bottom of the problem before it gets out of hand.",Completed Anime,Anime in 2006,Genre: Adventure Fantasy Magic Mystery Sci-Fi,hacksign-dub,https://gogocdn.net/cover/hacksign-dub.jpg,.hack//Sign (Dub) Episode 28,https://animeseries.so/watch/hacksign-dub-episode-28.html,"['//gogoplay.io/streaming.php?id=NzMyOTc=&title=.hack%2F%2FSign+%28Dub%29+episode+28&typesub=DUB', '//gogoplay.io/embedplus?id=NzMyOTc=&token=AX0c6H-dxfEgzTFW-CZITQ&expires=1641617153', 'https://sbplay2.com/e/6f16fnf3aznd', 'https://hydrax.net/watch?v=YywASpACl', 'https://fembed-hd.com/v/qznrxie035jrpdx', 'https://www.mp4upload.com/embed-mdyc6s68hepn.html', 'https://www.yourupload.com/embed/5A54kT5sQ2wa', 'https://dood.ws/e/i3olya3ve139']"
11,.hack//Tasogare no Udewa Densetsu (Dub),"Winning the legendary characters ""Kite"" and ""Black Rose"" from an event held by the creators of the MMORPG ""The World,"" Shugo and his twin sister Rena steps into ""The World."" Together they completed events and quests, along with their new friends Ouka, Mirelle, Hotaru, and Sanjuro. Soon after, mysterious monsters appeared, and death by these monsters caused players to slip into a coma in the real world. Only Shugo and Rena can solve this problem, but why are they being targeted, and what secrets is the game hiding?",Completed Anime,Anime in 2003,Genre: Adventure Comedy Fantasy Game Sci-Fi Shounen,hacktasogare-no-udewa-densetsu-dub,https://gogocdn.net/cover/hacktasogare-no-udewa-densetsu-dub.png,.hack//Tasogare no Udewa Densetsu (Dub) Episode 12,https://animeseries.so/watch/hacktasogare-no-udewa-densetsu-dub-episode-12.html,"['//gogoplay.io/streaming.php?id=MTUyMDQz&title=.hack%2F%2FTasogare+no+Udewa+Densetsu+%28Dub%29+episode+12&typesub=DUB', '//gogoplay.io/embedplus?id=MTUyMDQz&token=iG0bs9RoSMuJhUzdvmL1YQ&expires=1641617155', 'https://sbplay2.com/e/ljwbgsec089k', 'https://fembed-hd.com/v/nyjq6s2pqleqp0l', 'https://dood.ws/e/6gdkkbid1jmb']"
12,.hack//The Movie: Sekai no Mukou ni,.hack//The Movie: Sekai no Mukou ni,Completed Anime,Anime in 2012,Genre: Action Adventure Fantasy Game Mystery Sci-Fi,hackthe-movie-sekai-no-mukou-ni,https://gogocdn.net/images/hack%20The%20Movie%20Sekai%20no%20Mukou%20ni.jpg,.hack//The Movie: Sekai no Mukou ni Episode 1,https://animeseries.so/watch/hackthe-movie-sekai-no-mukou-ni-episode-1.html,"['//gogoplay.io/streaming.php?id=NDI4MjU=&title=.hack%2F%2FThe+Movie%3A+Sekai+no+Mukou+ni+episode+1&typesub=SUB', '//gogoplay.io/embedplus?id=NDI4MjU=&token=WG-d_DG-Rpa96SSlCQIuSg&expires=1641617158', 'https://sbplay2.com/e/1scdoa1eg25a', 'https://hydrax.net/watch?v=klzLD7lgFv', 'https://fembed-hd.com/v/zdp-5sj6k68d6n0', 'https://www.mp4upload.com/embed-1r0skgkdvxre.html', 'https://www.yourupload.com/embed/Dxi1tj87J43m', 'https://dood.ws/e/07ejke87b3iz']"
13,"""Eiyuu"" Kaitai","Uro Yamada works as part of the ""Hero Retirement and Return to Everyday Life Assistance Agency,"" which takes heroes from another world back to Earth and helps them reintegrate into everyday life.",Completed Anime,Anime in 2017,Genre: Comedy Drama,eiyuu-kaitai,https://gogocdn.net/cover/eiyuu-kaitai.png,"""Eiyuu"" Kaitai Episode 1",https://animeseries.so/watch/eiyuu-kaitai-episode-1.html,"['//gogoplay.io/streaming.php?id=MTA3NjI4&title=%22Eiyuu%22+Kaitai+episode+1&typesub=SUB', '//gogoplay.io/embedplus?id=MTA3NjI4&token=1-NBVtHLvk83-FVO4tYCbA&expires=1641617160', 'https://sbplay2.com/e/2rqay668geq1', 'https://hydrax.net/watch?v=5cxaFxsoenO', 'https://fembed-hd.com/v/qznrxie03404ly6', 'https://www.mp4upload.com/embed-5ixa5358i0t1.html', 'https://dood.ws/e/yhq8vuzazcvv']"
14,009 Re:Cyborg,"Nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons. The nine cyborgs rebel and start to fight against their creators in the name of justice and world peace. Decades later, the nine cyborgs seem to be untouched by time, but they live in a world where ""justice"" has as many nuances as the number of people living on the planet. What is their place in the world now?",Completed Anime,Anime in 2012,Genre: Action Adventure Mecha Sci-Fi,009-recyborg,https://gogocdn.net/images/anime/126644.jpg,009 Re:Cyborg Episode 1,https://animeseries.so/watch/009-recyborg-episode-1.html,"['//gogoplay.io/streaming.php?id=NDA3Nzk=&title=009+Re%3ACyborg+episode+1&typesub=SUB', '//gogoplay.io/embedplus?id=NDA3Nzk=&token=uC0CEGvHUIitP6RNAyl8lQ&expires=1641617165', 'https://sbplay2.com/e/3pnre1yz1jst', 'https://hydrax.net/watch?v=WGRdod1aIL', 'https://fembed-hd.com/v/rqndxce-qrw803j', 'https://mixdrop.co/e/mddprrroigzrwo', 'https://www.mp4upload.com/embed-lrbrrkos5r97.html', 'https://www.yourupload.com/embed/5nth6yWo4t3l', 'https://dood.ws/e/pp8mffoyymey']"
15,009 Re:Cyborg (Dub),"Nine regular humans from different parts of the world are abducted and transformed into cyborgs with astounding powers for the purpose of being used as weapons. The nine cyborgs rebel and start to fight against their creators in the name of justice and world peace. Decades later, the nine cyborgs seem to be untouched by time, but they live in a world where ""justice"" has as many nuances as the number of people living on the planet. What is their place in the world now? ""In the beginning was the Voice, and the word was Him; and all obeyed His word in great awe. But those who dwelt upon the land, through vanity, cunning and greed, attempted to build a multitude of towers whose tops reached unto heaven, and accumulated great wealth on earth. Scattering across the land and laying it to waste, man turned a deaf ear to His Voice. So He gave unto man an opportunity to atone for his misdeeds; and flame and smoke and the roar of a lion descended upon earth; and shattered the many towers to dust....""",Completed Anime,Anime in 2012,Genre: Action Adventure Mecha Sci-Fi,009-recyborg-dub,https://gogocdn.net/cover/009-recyborg-dub.jpg,009 Re:Cyborg (Dub) Episode 1,https://animeseries.so/watch/009-recyborg-dub-episode-1.html,"['//gogoplay.io/streaming.php?id=NzMyOTg=&title=009+Re%3ACyborg+%28Dub%29+episode+1&typesub=DUB', '//gogoplay.io/embedplus?id=NzMyOTg=&token=U94jLdTnhz7lPRffnyfTVw&expires=1641617167', 'https://sbplay2.com/e/n174nafcr0u5', 'https://hydrax.net/watch?v=HRPdP4Cbm', 'https://fembed-hd.com/v/41nrjtzy7dx6jx2', 'https://www.mp4upload.com/embed-p6ww0rsxnvek.html', 'https://www.yourupload.com/embed/r07pb4th3TOC', 'https://dood.ws/e/yqcvvkwwp2zk']"
16,009-1,"In an alternate world, the Cold War has continued to persist for 140 years. As a result, the world was divided into two factions: the West Block, and the East Block. As the Cold War drags on, the tension between the two factions, as well as the amount of nuclear weapons they have, rise. Mylene Hoffman is a female cyborg who is a spy for the West Block. Together with three other agents, Mylene partakes in various missions issued by her superiors. Genres: science fiction Themes: assassins, cold war, Cyborg, Inner Demons, secret agents, spies  ",Completed Anime,Anime in 2006,Genre: Action Mecha Sci-Fi,009-1,https://gogocdn.net/images/anime/A/009-1.jpg,009-1 Episode 12,https://animeseries.so/watch/009-1-episode-12.html,"['//gogoplay.io/streaming.php?id=NTkyMw==&title=009-1+episode+12&typesub=SUB', '//gogoplay.io/embedplus?id=NTkyMw==&token=HUvIdpU-7aouvY9_s_g4xg&expires=1641617169', 'https://sbplay2.com/e/tte86m150thz', 'https://fembed-hd.com/v/47dlpfzy2k051wm', 'https://dood.ws/e/n7e81gls0nhh']"
17,009-1 (Dub),"Mylene Hoffman, a beautiful cyborg spy with the codename ""009-1"" lives in an alternative world where the cold war never ended, continuously on-going for 140 years. The world is split into two factions, the West and the East block. A masquerade of peace between the two is slowly dissipated as the conflict occurs. Through politics, the two factions battle over supremacy over technology to threats of a nuclear attack. Mylene Hoffman, teaming up with three other agent, gets surrounded by deception, chaos and rivalry as she carries out missions assigned by her superiors.",Completed Anime,Anime in 2006,Genre: Action Mecha Sci-Fi,009-1-dub,https://gogocdn.net/cover/009-1-dub.jpg,009-1 (Dub) Episode 12,https://animeseries.so/watch/009-1-dub-episode-12.html,"['//gogoplay.io/streaming.php?id=NzM3ODk=&title=009-1+%28Dub%29+episode+12&typesub=DUB', '//gogoplay.io/embedplus?id=NzM3ODk=&token=MC3xGDLpcpykzb3U3wmeWQ&expires=1641617171', 'https://sbplay2.com/e/34yetmh9msua', 'https://fembed-hd.com/v/60rx3b01q8rngqk', 'https://dood.ws/e/j1aawnyb5ei3']"
18,07-GHOST,"Out of 500 students in the military academy, only 20 will pass the difficult graduation exam to become begleiters (Assistant Executive Officers). Teito Klein, the chairman’s favorite, is one of them. He is disliked by the other students because of his relations with the chairman and his mysterious past. After Teito and his best from, Mikage, finish the first phase, Teito begins to have strange dreams again about a man. Later on he eavesdrops on people talking about him. During this conversation, Teito recognizes the man in his dreams and another man that killed him. When he is caught he is sent to prison, but escapes with the help of his best friend. Teito left Mikage and was found falling from the sky and unconscious by a group of guys. Genre: Comedy, Fantasy",Completed Anime,Anime in 2009,Genre: Action Demons Fantasy Military Shoujo,07-ghost,https://gogocdn.net/images/anime/A/07-ghost.jpg,07-GHOST Episode 25,https://animeseries.so/watch/07-ghost-episode-25.html,"['//gogoplay.io/streaming.php?id=NjAyOQ==&title=07-GHOST+episode+25&typesub=SUB', '//gogoplay.io/embedplus?id=NjAyOQ==&token=cvFMkuUtI_xzRE0MtapDeg&expires=1641617173', 'https://sbplay2.com/e/ajzx3f4fo01j', 'https://hydrax.net/watch?v=gcA4-X9Em', 'https://fembed-hd.com/v/l364xunwp34k2d7', 'https://www.mp4upload.com/embed-fjg6b929octw.html', 'https://www.yourupload.com/embed/I6j8Un3Tkfa7', 'https://dood.ws/e/x9z1ykvjmgz8']"
19,100-man no Inochi no Ue ni Ore wa Tatteiru,"Yotsuya Yuusuke along with his classmates Shindou Iu and Hakozaki Kusue have been transported to a strange and unknown world inhabited by mythological creatures. As soon as they arrive, they meet somebody calling himself the Game Master who then grants them a time-limited quest. To aid them in this quest, he also bestows Shindou and Hakozaki with the roles of a Magician and a Warrior while Yotsuya is randomly granted the role of... a Farmer?! This is how a hectic life of adventuring began for three students who now have no choice, but to complete random quests for several phases in the fantasy world if they want to stay alive and protect the real world from the demons and monsters they encounter.",Completed Anime,Anime in 2020,Genre: Action Drama Fantasy Game Shounen,100-man-no-inochi-no-ue-ni-ore-wa-tatteiru,https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru.png,100-man no Inochi no Ue ni Ore wa Tatteiru Episode 12,https://animeseries.so/watch/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-episode-12.html,"['//gogoplay.io/streaming.php?id=MTQ5Mjc4&title=100-man+no+Inochi+no+Ue+ni+Ore+wa+Tatteiru+episode+12&typesub=SUB', '//gogoplay.io/embedplus?id=MTQ5Mjc4&token=yHDtsZ-zYVYQjpkBPcF7ww&expires=1641617175', 'https://sbplay2.com/e/7xvb131ac9rq', 'https://fembed-hd.com/v/36752cmgr8j6zr7', 'https://mixdrop.co/e/4ndgzxrwcq40jwo', 'https://www.mp4upload.com/embed-k6692dasq8yd.html', 'https://dood.ws/e/lss88cphm6xr']"
20,100-man no Inochi no Ue ni Ore wa Tatteiru (Dub),"Yotsuya Yuusuke along with his classmates Shindou Iu and Hakozaki Kusue have been transported to a strange and unknown world inhabited by mythological creatures. As soon as they arrive, they meet somebody calling himself the Game Master who then grants them a time-limited quest. To aid them in this quest, he also bestows Shindou and Hakozaki with the roles of a Magician and a Warrior while Yotsuya is randomly granted the role of... a Farmer?! This is how a hectic life of adventuring began for three students who now have no choice, but to complete random quests for several phases in the fantasy world if they want to stay alive and protect the real world from the demons and monsters they encounter.",Completed Anime,Anime in 2020,Genre: Action Drama Fantasy Game Shounen,100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-dub,https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-dub.png,100-man no Inochi no Ue ni Ore wa Tatteiru (Dub) Episode 12,https://animeseries.so/watch/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-dub-episode-12.html,"['//gogoplay.io/streaming.php?id=MTUxNjIx&title=100-man+no+Inochi+no+Ue+ni+Ore+wa+Tatteiru+%28Dub%29+episode+12&typesub=DUB', '//gogoplay.io/embedplus?id=MTUxNjIx&token=LyolUyvss3q9007VW2mGwQ&expires=1641617177', 'https://sbplay2.com/e/481db81o4eyv', 'https://fembed-hd.com/v/ry7jrse81ywr108', 'https://mixdrop.co/e/9n6678vpuw471e', 'https://www.mp4upload.com/embed-3nhoik9k8ewz.html', 'https://dood.ws/e/08768r1dkv2s']"
21,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,Second season of 100-man no Inochi no Ue ni Ore wa Tatteiru.,Completed Anime,Anime in 2021,Genre: Action Drama Fantasy Game Shounen,100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season,https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season.png,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season Episode 12,https://animeseries.so/watch/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season-episode-12.html,"['//gogoplay.io/streaming.php?id=MTcxMDg1&title=100-man+no+Inochi+no+Ue+ni+Ore+wa+Tatteiru+2nd+Season+episode+12&typesub=SUB', '//gogoplay.io/embedplus?id=MTcxMDg1&token=_sbJOg8yAUTQxG0AfvlNpQ&expires=1641617179', 'https://sbplay2.com/e/5p108974e2nv', 'https://fembed-hd.com/v/8p1x6i8lpkqeqer', 'https://mixdrop.co/e/dqwo08zna8vw7g', 'https://www.mp4upload.com/embed-jj6ghd0xpf8m.html', 'https://dood.ws/e/8nqy8tax7uul']"
22,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season (Dub),Second season of 100-man no Inochi no Ue ni Ore wa Tatteiru.,Completed Anime,Anime in 2021,Genre: Action Drama Fantasy Game Shounen,100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season-dub,https://gogocdn.net/cover/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season-dub.png,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season (Dub) Episode 12,https://animeseries.so/watch/100-man-no-inochi-no-ue-ni-ore-wa-tatteiru-2nd-season-dub-episode-12.html,"['//gogoplay.io/streaming.php?id=MTc0Mzc0&title=100-man+no+Inochi+no+Ue+ni+Ore+wa+Tatteiru+2nd+Season+%28Dub%29+episode+12&typesub=DUB', '//gogoplay.io/embedplus?id=MTc0Mzc0&token=4lz5pjMPSo6sJw5Tpu5Xjw&expires=1641617181', 'https://sbplay2.com/e/edhmesrgwcrz', 'https://fembed-hd.com/v/l364xun7xr84mxd', 'https://www.mp4upload.com/embed-nzvlfhay41je.html', 'https://dood.ws/e/6gzq2oz8rwfu']"
